1,,,,,Sin tolva asignada,,,
2,F-000002,KENWORTH,2004,3200,TOLVA 1,6,1,1
3,F-000003,KENWORTH,2001,3400,TOLVA 2,6,1,1
4,F-000004,KENWORTH,2001,3100,TOLVA 3,6,1,1
5,F-000005,FORD,2008,14,TONELADA,6,1,2
