315,B-6-2 CAB,B-6-2 ENCANTO,0.0,,1,1
316,G-6-1,G-6-1,0.0,,1,1
317,ENF//U-4,ENF//U-4,0.0,,1,1
318,L-5,L-5,0.0,,4,1
319,L-6,L-6,0.0,,4,1
321,SECO-2-1-//Q-3,SECO-2-1-//Q-3,0.0,,1,1
322,SEC-2//F-1-2,SEC-2//F-1-2,0.0,,1,1
323,O-2-1,O-2-1,0.0,,1,1
324,G-1-2,G-1-2,0.0,,1,1
325,R-2/VALMO,R-2/VALMO,0.0,,1,1
326,G-6-2,G-6-2,0.0,,1,1
327,F-2-1-MEDINA,F-2-1-MEDINA,0.0,,1,1
328,O-1-2,O-1-2,0.0,,1,1
329,ENFERMERIA-RAMON ANGEL C,ENFERMERIA-RAMON ANGEL C,0.0,,1,1
331,SECO-1//Q-3,SECO-1//Q-3,0.0,,1,1
332,SECO-2//Q-3 JULIAN PRANDINI,SECO-2//Q-3 JULIAN PRANDINI,0.0,,1,1
333,Q-3 JULIAN PRANDINI,Q-3 JULIAN P.,0.0,,4,1
334,R-4,R-4,0.0,,4,1
335,R-4 CABALLOS,R-4 CABALLOS,0.0,,1,1
336,B-5 CABALLOS,B-5 CABALLOS,0.0,,1,1
337,B-6 CABALLOS,B-6 CABALLOS,0.0,,1,1
338,B-6-1 CABALLOS,B-6-1 CABALLOS,0.0,,1,1
339,L-8 CABALLOS,L-8 CABALLOS,0.0,,1,1
341,ENFERMERIA-ALBERTO MORALES,ENFERMERIA-ALBERTO MORALES,0.0,,1,1
342,SEC-2,SEC-2,0.0,,1,1
343,F-1-1-2,F-1-1-2,0.0,,1,1
344,G-8-2,G-8-2,0.0,,1,1
345,G-8//G-7,G-8//G-7,0.0,,1,1
346,X-1,X-1,0.0,,189,1
347,X-2,X-2,0.0,,1,1
348,X-3,X-3,0.0,,1,1
349,X-4,X-4,0.0,,1,1
351,56,EFEFWF,0.0,,1,1
352,J-8-1,J-8-1,0.0,,3,1
353,Q-8,Q-8,0.0,,1,1
354,PRADERA-1,PRADE-1,0.0,,184,1
355,PRADERA-2,PRADE-2,0.0,,1,1
356,M-5,M-5,0.0,,4,1
357,M-1,M-1,0.0,,187,1
358,M-6,M-6,0.0,,4,1
359,L-8,L-8,0.0,,4,1
360,M-8,M-8,0.0,,54,1
361,M-8,M-8,0.0,,54,1
362,ENFERMERIA-CARNES Y CORTES ,ENFERMERIA-CARNES Y CORTES ,0.0,,1,1
363,ENFERMERIA-GANADERIA EL ENCANTO,ENFERMERIA-GANADERIA EL ENCANTO,0.0,,1,1
364,ENFERMERIA-GANADERA WALTER TERAN,ENFERMERIA-GANADERA WALTER TERAN,0.0,,1,1
365,P-1,P-1,0.0,,1,1
366,A-B-1,,0.0,,1,2
367,,L-7,0.0,,4,1
368,M-7,M-7,0.0,,4,1
369,SECO-1,SECO-1,0.0,,15,1
371,B-6-2,B-6-2,0.0,,1,1
372,Q-3-1,Q-3-1,0.0,,187,1
373,T-4,T-4,0.0,,6,1
374,T-4-1,T-4-1,0.0,,1,1
375,T-4-2,T-4-2,0.0,,1,1
376,F-1-1,F-1-1,0.0,,6,1
377,SEC-2-1,SEC-2-1,0.0,,57,1
378,SEC-2-2,SEC2-2,0.0,,28,1
379,U-4,U-4,0.0,,15,1
381,U-4-1,U-4-1,0.0,,1,1
382,J-8-1 Y J-8-2,J-8-1 Y J-8-2,0.0,,1,1
383,SECO-Q3-T4,SECO-Q3-T4,0.0,,1,1
384,SECO-Q3-T4-1,SECO-Q3-T4-1,0.0,,1,1
385,U-4-2,U-4-2,0.0,,1,1
386,B-6-1,B-6-1,0.0,,173,1
387,M-3,M-3,0.0,,54,1
388,S-1,S-1,0.0,,6,1
389,S-1-1,S-1-1,0.0,,1,1
390,EXP-5-1,EXP-5-1,0.0,,56,1
391,EXP-5-1,EXP-5-1,0.0,,56,1
392,CABALLOS ,CABALLOS ,0.0,,3,1
393,R-3,R-3,0.0,,1,1
394,N-8-1-1,N-8-1-1,0.0,,38,1
395,I-3-1,I-3-1,0.0,,1,1
396,SECO-1-1,SECO-1-1,0.0,,56,1
397,PRADERA-3,PRADERA-3,0.0,,173,1
398,SECO-1-2,SECO-1-2,0.0,,58,1
399,SECO-1-3,SECO-1-3,0.0,,1,1
404,E-3-1,E-3-1,0.0,,162,1
407,EXP-1-1,EXP-1-1,0.0,,15,1
408,PRADERA-4,PRADE-4,0.0,,54,1
410,CABALLOS-EL ENC,CABALLOS-EL ENC,0.0,,54,1
411,SECO-1-4,SECO-1-4,0.0,,1,1
412,B-5-1,B-5-1,0.0,,1,1
413,L-1-1,L-1-1,0.0,,4,1
414,E-3-1,E-3-1,0.0,,162,1
415,N-8-2-ENFERMERIA,N-8-2-ENFERMERIA,0.0,,1,1
416,ENFERMERIA EL ENCANTO,ENFERMERIA EL ENCANTO ,0.0,,1,1
417,EXP-1-1,EXP-1-1,0.0,,1,1
418,PRADERA-4,PRADE-4,0.0,,193,1
419,E-8-1,E-8-1,0.0,,1,1
420,RECEP-4,RECEP-4,0.0,,17,1
421,RECEP-4,RECEP-4,0.0,,187,1
422,RECEP-2,RECEP-2,0.0,,6,1
423,D-1-1,D-1-1,0.0,,1,1
424,L-3-1,L-3-1,0.0,,1,1
425,J-1-1,J-1-1,0.0,,1,1
426,SECO-QUIBRERA,SECO-QUIBRERA,0.0,,6,1
427,I-4-2,I-4-2,0.0,,1,1
428,I-8-2,I-8-2,0.0,,1,1
429,D-4-1,D-4-1,0.0,,1,1
430,C-8-1,C-8-1,0.0,,54,1
431,C-8-1,C-8-1,0.0,,1,1
432,I-2-2,I-2-2,0.0,,3,1
433,A-8-2-1,A-8-2-1,0.0,,3,1
434,SECO-QV,SECO-QV,0.0,,1,1
435,PRADE-3,PRADE-3,0.0,,193,1
436,C-1-1,C-1-1,0.0,,3,1
437,D-2-1,D-2-1,0.0,,1,1
438,D-3-1,D-3-1,0.0,,1,1
439,A-7-1-1,A-7-1-1,0.0,,1,1
440,J-6-1-1,J-6-1-1,0.0,,4,1
441,J-6-1-1,J-6-1-1,0.0,,1,1
442,M-2-1,M-2-1,0.0,,1,1
443,RECEP-ENC,RECEP-PAULO MORALES,0.0,,191,1
444,A-1-1,A-1-1,0.0,,1,1
445,J-2-1,J-2-1,0.0,,1,1
446,A-4-1,A-4-1,0.0,,1,1
447,A-8-1-1,A-8-1-1,0.0,,1,1
448,L-8-1,L-8-1,0.0,,1,1
449,K-5-1,K-5-1,0.0,,1,1
450,RECEP-RAC,RECEP-RAC,0.0,,3,1
451,RECEP-RAC,RECEP-RAC,0.0,,3,1
452,J-6-2-1,J-6-2-1,0.0,,1,1
453,RECEP-JULIAN,RECEP-JULIAN,0.0,,4,1
454,C-3-1,C-3-1,0.0,,1,1
455,C-2-1,C-2-1,0.0,,1,1
456,R-1-1,R-1-1,0.0,,1,1
457,Q-3/TERAN,Q-3/TERAN,0.0,,56,1
458,EXP-6-1,EXP-6-1,0.0,,15,1
459,B-4-1-1,B-4-1-1,0.0,,1,1
461,L-5-MENDEZ,L-5-MENDEZ,0.0,,1,1
462,I-4-2 RAC,I-4-2 RAC,0.0,,3,1
463,B-8-RAC,B-8-RAC,0.0,,3,1
464,J-4-1JULIAN,J-4-1JULIAN,0.0,,4,1
465,U-3RENTERIA,U-3RENTERIA,0.0,,121,1
466,B-3-2-1,B-3-2-1,0.0,,1,1
467,I-2-1ALFREDO,I-2-1ALFREDO,0.0,,1,1
468,J-7-1ENC,J-7-1ENC,0.0,,192,3
469,B-6-2QV,B-6-2QV,0.0,,1,1
470,ENFERMERIA LA JOYA,ENFERMERIA LA JOYA,0.0,,15,1
471,ENFERMERIA LA JOYA,ENFERMERIA LA JOYA,0.0,,1,1
472,T-1 GARCIA,T-1 GARCIA,0.0,,1,1
473,L-1ENC,L-1ENC,0.0,,1,1
474,A-8-1BUS,A-8-1BUS,0.0,,1,1
475,Q-2BUS,Q-2BUS,0.0,,1,1
476,B-4-2BUS,B-4-2BUS,0.0,,1,1
477,K-7BUS,K-7BUS,0.0,,1,1
478,I-5ENC,I-5ENC,0.0,,1,1
479,I-5-1GAR,I-5-1GAR,0.0,,1,1
481,Q-4BUS,Q-4BUS,0.0,,187,1
482,B-7-1-JOYA,B-7-1 ENCANTO,0.0,,1,1
483,B-6-2LAJOYA ,B-6-2LAJOYA ,0.0,,1,1
484,D-4MEZA,D-4MEZA,0.0,,1,1
485,L-4-JUAN,L-4-JUAN,0.0,,148,1
486,B-7-2RAC,B-7-2RAC,0.0,,3,1
487,M-5QV,M-5QV,0.0,,1,1
488,E-2JUAN,E-2JUAN,0.0,,1,1
489,B6-1 BUST,B6-1 BUST,0.0,,1,1
491,E-4 ENC.,E-4 ENC.,0.0,,1,1
492,O-1 - 2,O-1  - 2,0.0,,1,1
493,F-000493,L-2,150.0,2024-07-08 17:34:00,3,1
