50,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000002,2,Agregado,,,2024-07-08 17:33:00,,
51,SERVICIO WEB,,,Catalogos,Corral,F-000493,493,Agregado,,,2024-07-08 17:34:00,,
52,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000001,1,Agregado,,,2024-07-08 17:35:00,,
53,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000002,2,Agregado,,,2024-07-08 17:35:00,,
54,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000003,3,Agregado,,,2024-07-08 17:35:00,,
55,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000004,4,Agregado,,,2024-07-08 17:36:00,,
56,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000005,5,Agregado,,,2024-07-08 17:36:00,,
57,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000006,6,Agregado,,,2024-07-08 17:36:00,,
58,SERVICIO WEB,,,Procesos,Servidos Manuales,F-000007,7,Agregado,,,2024-07-08 17:37:00,,
59,SERVICIO WEB,,,Procesos,Entrada Materias Primas,EMP-000001,1,Agregado,,,2024-07-10 16:49:00,,
60,SERVICIO WEB,,,Procesos,Salidas Materias Primas,SMP-000001,1,Agregado,,,2024-07-10 16:54:00,,
61,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000001,1,Agregado,,,2024-07-10 18:28:00,,
62,SERVICIO WEB,SERVICIO WEB,,Procesos,Entrada Productos,EP-000002,2,Agregado,Editado,,2024-07-10 20:06:00,2024-07-10 23:04:00,
63,SERVICIO WEB,,,Catalogos,Receta Producto,F-000001,1,Agregado,,,2024-07-10 20:10:00,,
64,SERVICIO WEB,,,Catalogos,Receta Producto,F-000001,2,Agregado,,,2024-07-10 20:10:00,,
65,SERVICIO WEB,,,Catalogos,Receta Producto,F-000001,3,Agregado,,,2024-07-10 20:10:00,,
66,SERVICIO WEB,,,Catalogos,Receta Producto,F-000001,4,Agregado,,,2024-07-10 20:10:00,,
67,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000003,3,Agregado,,,2024-07-10 22:02:00,,
68,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000003,3,Agregado,,,2024-07-10 22:03:00,,
69,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:09:00,,
70,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:11:00,,
71,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:12:00,,
72,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:13:00,,
73,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:13:00,,
74,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:15:00,,
75,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:15:00,,
76,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:16:00,,
77,SERVICIO WEB,,,Procesos,Entrada Productos,EP-000005,5,Agregado,,,2024-07-10 22:17:00,,
